dataset_fraction,dataset_rows,aggregate,method,mean_estimated_result,std_estimated_result,mean_time_seconds,std_time_seconds,mean_relative_error,std_relative_error,estimate_ci_lower,estimate_ci_upper,trials
0.1,1000,SUM,Uniform Sampling,411920.45,37725.0632332656,0.00023457000002053975,3.591762334848464e-05,0.06000519034045478,0.05368372126049465,388538.2135605649,435302.6864394351,10
0.25,2500,AVG,Adaptive Sampling,411.48006133333337,18.530362433200978,0.000807520000034856,0.0001456024327924988,0.03912960315159519,0.03468800512958016,399.99482370649577,422.96529896017097,10
0.25,2500,AVG,Exact Query,420.52605839999995,6.174011400487103,2.89100000372855e-05,3.5619751448628072e-06,0.0,0.0,416.6993664882244,424.3527503117755,10
0.25,2500,AVG,Stratified Sampling,418.28552761284766,25.875020369958165,0.0022912500000984437,2.5544742888218574e-05,0.04234577379173501,0.024550411462748063,402.2480238338729,434.32303139182244,10
0.25,2500,AVG,Uniform Sampling,417.428356,21.94805950621462,0.00024033999993662293,8.033845135754423e-06,0.040846070832323014,0.041545013121388835,403.8248077809325,431.03190421906754,10
0.25,2500,COUNT,Adaptive Sampling,2500.0,0.0,0.00025548999992679454,7.558872712475378e-06,0.0,0.0,2500.0,2500.0,10
0.25,2500,COUNT,Exact Query,2500.0,0.0,2.9739999990852085e-05,1.4198589704134497e-06,0.0,0.0,2500.0,2500.0,10
0.25,2500,COUNT,Stratified Sampling,2500.0,0.0,0.0022898500000337664,5.8749170139981574e-05,0.0,0.0,2500.0,2500.0,10
0.25,2500,COUNT,Uniform Sampling,2500.0,0.0,0.00026165999997829203,1.3124972032189035e-05,0.0,0.0,2500.0,2500.0,10
0.25,2500,SUM,Adaptive Sampling,1028700.1533333336,46325.90608300244,0.0008102399999643239,0.00016296662365481538,0.039129603151595194,0.03468800512958015,999987.0592662395,1057413.2474004277,10
0.25,2500,SUM,Exact Query,1051315.1460000002,15435.028501217768,2.9470000026776687e-05,7.631077169481101e-07,0.0,0.0,1041748.4162205614,1060881.875779439,10
0.25,2500,SUM,Stratified Sampling,1045713.819032119,64687.55092489542,0.002352189999919574,0.00013333923707294968,0.04234577379173499,0.024550411462748112,1005620.059584682,1085807.5784795561,10
0.25,2500,SUM,Uniform Sampling,1043570.8899999999,54870.14876553654,0.000244129999919096,8.739190215621766e-06,0.040846070832322987,0.0415450131213889,1009562.019452331,1077579.7605476687,10
0.5,5000,AVG,Adaptive Sampling,430.902954,14.855769625171972,0.0007522800000515417,5.539450045366929e-05,0.03251105553165055,0.027882129807324588,421.6952525915833,440.11065540841673,10
0.5,5000,AVG,Exact Query,420.1649142,3.9399374071256386,3.3799999982875306e-05,6.10355097574407e-06,0.0,0.0,417.72291569517705,422.60691270482295,10
0.5,5000,AVG,Stratified Sampling,434.98445668434516,16.671017086701678,0.002711960000124236,0.000123243527698055,0.04102095055301531,0.023610891660711286,424.651653242855,445.31726012583533,10
0.5,5000,AVG,Uniform Sampling,430.902954,14.855769625171972,0.0002962300000490359,2.0686068805244906e-05,0.03251105553165055,0.027882129807324588,421.6952525915833,440.11065540841673,10
0.5,5000,COUNT,Adaptive Sampling,5000.0,0.0,0.0003262800000356947,9.223607155024532e-05,0.0,0.0,5000.0,5000.0,10
0.5,5000,COUNT,Exact Query,5000.0,0.0,3.491999991638295e-05,3.712680969696155e-06,0.0,0.0,5000.0,5000.0,10
0.5,5000,COUNT,Stratified Sampling,5000.0,0.0,0.002696120000018709,0.00012683567497754548,0.0,0.0,5000.0,5000.0,10
0.5,5000,COUNT,Uniform Sampling,5000.0,0.0,0.0003114599999207712,1.875071555393076e-05,0.0,0.0,5000.0,5000.0,10
0.5,5000,SUM,Adaptive Sampling,2154514.7700000005,74278.84812585988,0.0007918700000118406,0.0001224698154370059,0.0325110555316505,0.02788212980732458,2108476.262957917,2200553.277042084,10
0.5,5000,SUM,Exact Query,2100824.571,19699.687035628212,3.257999997003935e-05,3.5143514499090524e-06,0.0,0.0,2088614.578475885,2113034.563524115,10
