trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
6,148,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00022980000039751758,0.05,50,1000.0,1000.0,0.0
6,148,0.1,1000,SUM,Exact Query,431156.48,431156.48,0.0,2.8699999802483944e-05,1.0,1000,431156.48,431156.48,0.0
6,148,0.1,1000,SUM,Uniform Sampling,431156.48,427843.9,0.00768301104972366,0.00022769999986849143,0.1,100,,,
6,148,0.1,1000,SUM,Stratified Sampling,431156.48,409042.50867485336,0.051289896710230626,0.0021406999999271648,0.1,98,,,
6,148,0.1,1000,SUM,Adaptive Sampling,431156.48,419975.25,0.02593311365748227,0.002194200000303681,0.39999999999999997,400,381179.9421351437,458770.5578648563,0.0923752241706061
6,148,0.1,1000,AVG,Exact Query,431.15648,431.15648,0.0,2.5099999675148865e-05,1.0,1000,431.15648,431.15648,0.0
6,148,0.1,1000,AVG,Uniform Sampling,431.15648,427.8439000000001,0.0076830110497235525,0.0002164999996239203,0.1,100,,,
6,148,0.1,1000,AVG,Stratified Sampling,431.15648,409.04250867485337,0.05128989671023064,0.0021292000001267297,0.1,98,,,
6,148,0.1,1000,AVG,Adaptive Sampling,431.15648,419.97525,0.025933113657482246,0.002329500000087137,0.39999999999999997,400,381.1799421351437,458.77055786485636,0.0923752241706061
7,149,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,3.72999998035084e-05,1.0,1000,1000.0,1000.0,0.0
7,149,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.0002320999997209583,0.1,100,,,
7,149,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.002098800000112533,0.1,98,,,
7,149,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00022290000015345868,0.05,50,1000.0,1000.0,0.0
7,149,0.1,1000,SUM,Exact Query,422916.44000000006,422916.44000000006,0.0,2.8299999939918052e-05,1.0,1000,422916.44000000006,422916.44000000006,0.0
7,149,0.1,1000,SUM,Uniform Sampling,422916.44000000006,476027.1999999999,0.1255821599179257,0.00021250000008876668,0.1,100,,,
